population,households,median_income,median_house_value,total_bedrooms,latitude,longitude,housing_median_age,,,
879,413,54063,104200,544,36.1361171,-76.9147086,39,,,
1373,442,21582,69400,455,36.1832396,-76.8264719,41,,,
1130,472,41094,60600,509,36.0784007,-76.8406099,24,,,
1283,621,25701,85600,685,36.094103600000004,-77.0557832,34,,,
920,313,32448,68500,406,36.126102200000005,-77.2267977,41,,,
861,423,37784,156100,450,36.0017468,-76.9564398,60,,,
692,276,52031,111300,313,36.0115948,-76.9458973,46,,,
570,291,31131,89300,333,36.222089200000006,-76.7549517,45,,,
854,331,28177,70800,456,36.2235224,-77.1235417,48,,,
0,0,,,0,35.9808619,-76.6689579,,,,
1031,390,29000,82400,456,36.2140558,-76.9040992,41,,,
689,331,69375,139900,525,36.0998944,-76.7456745,18,,,
1152,494,50000,115100,784,34.626528,-78.3701915,25,,,
887,228,17266,76300,269,34.696772499999994,-78.5232306,29,,,
760,388,20526,,586,34.474169200000006,-78.2988448,25,,,
1174,492,28777,67600,654,34.7794396,-78.5141622,34,,,
1719,736,42632,82800,891,34.5890156,-78.8058785,34,,,
1639,679,26301,56500,832,34.5453885,-78.8017434,37,,,
714,269,29213,59300,269,34.518533399999995,-78.8404436,34,,,
609,285,26322,65800,436,34.5073016,-78.6879226,52,,,
928,346,26087,77500,362,34.436143,-78.5617944,33,,,
453,194,65893,157700,281,34.468325,-78.4654847,43,,,
807,424,15972,162600,466,34.535468200000004,-78.5032777,35,,,
1113,392,,90600,428,34.5164187,-78.621924,38,,,
1653,690,42326,106600,870,34.801710799999995,-78.6957698,33,,,
912,455,10664,,638,34.612776200000006,-78.6090976,35,,,
1292,504,61023,203400,504,34.6397101,-78.6575351,33,,,
618,260,58269,99500,260,34.6222722,-78.5897855,41,,,
1618,595,39632,111400,738,34.6807594,-78.7105113,31,,,
1360,549,31250,,602,34.63742070000001,-78.7369481,42,,,
1272,542,26520,75000,610,34.6393786,-78.792476,27,,,
1231,574,50192,135200,1604,34.6101552,-78.5120402,29,,,
1027,359,47310,84900,469,34.5302258,-78.7844781,48,,,
1165,603,29327,82400,625,34.5578959,-78.7316642,40,,,
668,211,68242,142500,300,34.498479100000004,-78.7710721,30,,,
817,341,27781,83500,400,34.490495200000005,-78.6464152,49,,,
1268,522,31786,74800,639,34.3998686,-78.3762466,36,,,
1573,702,29756,79400,801,34.6861326,-78.6270792,33,,,
719,357,,76000,497,34.622021000000004,-78.6209749,53,,,
844,315,47604,97100,352,34.5928661,-78.5826542,37,,,
1390,486,31483,72200,566,34.792692200000005,-78.8510874,27,,,
937,376,30402,94800,431,34.706927,-78.7635285,50,,,
1459,600,38333,90600,713,34.61929620000001,-78.6769515,39,,,
397,174,34357,97500,425,33.932973499999996,-78.3022928,36,,,
866,443,37583,,992,33.9426923,-78.340341,29,,,
1308,594,40962,,927,33.9238409,-78.3476507,24,,,
418,226,41092,177700,1106,33.9188907,-78.3263489,30,,,
1473,606,42500,138100,824,33.9814614,-78.3228524,30,,,
407,213,33646,,1012,33.936406899999994,-78.2765914,31,,,
1574,564,32500,107700,878,33.9849283,-78.2863666,25,,,
1867,915,67159,316900,1678,33.946281899999995,-78.583424,15,,,
1158,517,32306,78800,517,34.0288307,-78.5831255,26,,,
1051,342,38750,147400,442,33.977616999999995,-78.5780778,38,,,
2788,1059,34775,133800,1350,33.9313928,-78.4160165,18,,,
530,291,36595,197000,391,33.8964412,-78.5858548,29,,,
2256,976,64375,224800,1132,33.9551895,-78.3795845,28,,,
1723,687,57018,170100,1065,33.92369420000001,-78.5897239,16,,,
2982,1211,62311,170800,1640,33.9168127,-78.5653393,15,,,
1171,661,53914,207000,1057,33.9235927,-78.5297381,15,,,
406,194,70000,282400,864,33.9141327,-78.1081982,32,,,
296,143,65375,,513,33.9121003,-78.0980433,34,,,
281,144,77778,300000,666,33.9188019,-78.0950824,30,,,
783,303,47175,281800,679,33.9150171,-78.077018,32,,,
675,318,106786,375800,915,33.905869200000005,-78.0486559,28,,,
1207,532,43000,171800,1011,33.9221342,-78.2811093,28,,,
1849,764,81500,486600,870,33.935784999999996,-78.4682723,13,,,
1146,541,34702,161600,966,33.8813375,-78.5616569,28,,,
791,383,44046,190200,745,33.8833025,-78.53642,25,,,
658,346,71583,293900,1013,33.8996226,-78.5112498,19,,,
0,0,,,82,33.9059623,-78.4971155,14,,,
696,342,49107,160500,911,33.8887425,-78.5019939,26,,,
605,265,38309,139900,859,33.8937359,-78.4776126,29,,,
1151,513,39567,215400,789,33.921239899999996,-78.3873725,28,,,
1287,701,57236,241500,1441,33.9035291,-78.4165028,25,,,
424,178,96563,420600,1140,33.915595700000004,-78.265194,27,,,
129,55,73750,450000,399,33.9063034,-78.3649405,24,,,
459,205,92188,383800,1041,33.911986999999996,-78.3207687,30,,,
1404,525,40666,108600,555,34.2634027,-78.0253713,18,,,
3008,1062,42457,118200,1103,34.252579,-78.0140005,30,,,
1840,779,54549,162600,938,34.2367469,-78.0074689,34,,,
1710,642,59483,190700,741,34.2203487,-77.9951492,22,,,
2307,992,56250,172200,992,34.210011200000004,-78.0072602,14,,,
6535,2606,80517,284400,2910,34.1653706,-78.0015912,11,,,
1562,680,46250,136800,978,34.0501547,-77.981739,24,,,
1931,714,53611,169200,810,34.1520711,-78.0568792,18,,,
743,295,53438,159900,368,34.0921895,-78.0616413,30,,,
578,267,35725,139500,272,34.067778000000004,-78.0869558,36,,,
1621,687,31646,213000,830,34.0029901,-78.078975,17,,,
1841,705,57836,174000,754,34.019161100000005,-78.0443832,24,,,
1801,872,62973,339200,1084,33.9814967,-78.2168641,13,,,
4816,2392,100682,449200,2913,33.9443595,-78.1003055,13,,,
2776,1188,60337,201000,1604,33.9364287,-78.0782429,16,,,
2228,1098,59375,229700,1505,33.9292445,-78.0408146,16,,,
953,321,64861,291300,452,33.951224200000006,-77.9921571,25,,,
678,305,52019,314300,431,33.9250252,-78.0069763,33,,,
234,141,101875,764300,1220,33.90922379999999,-77.9958015,20,,,
1494,762,62250,263600,1443,33.924572600000005,-78.174609,25,,,
1578,767,60069,249600,1456,33.9210597,-78.1249435,24,,,
558,269,68393,322800,763,33.915319399999994,-78.1390695,31,,,
2589,1114,35741,89500,1293,34.323231,-78.071378,23,,,
4524,1890,57255,161400,2004,34.287313700000006,-78.093043,14,,,
2323,1070,50081,160900,1109,34.234143599999996,-78.0944627,16,,,
2919,1356,58839,212600,1636,34.2229768,-78.0446595,15,,,
3178,1316,75400,299500,1379,34.22606629999999,-78.0263507,,,,
255,130,60417,459500,1252,33.8696914,-78.5192351,27,,,
284,143,78250,561400,1105,33.893044700000004,-78.4336291,32,,,
203,97,116563,599400,872,33.8983308,-78.4066276,25,,,
